Node1	Node2	Pvalue	Cor
BacV5_Otu_000118	BacV5_Otu_000007	0	-0.49808141709
BacV5_Otu_000120	BacV5_Otu_000007	0	0.524500004709
BacV5_Otu_000123	BacV5_Otu_000007	0	0.572215500532
BacV5_Otu_000127	BacV5_Otu_000007	0	0.601941290158
BacV5_Otu_000129	BacV5_Otu_000007	0	0.557688500321
BacV5_Otu_000145	BacV5_Otu_000007	0.001	0.429432291268
BacV5_Otu_000153	BacV5_Otu_000007	0	0.645503024303
BacV5_Otu_000157	BacV5_Otu_000007	0.001	0.531704485493
BacV5_Otu_000159	BacV5_Otu_000007	0	0.669524014866
BacV5_Otu_000171	BacV5_Otu_000007	0	0.458598791913
BacV5_Otu_000172	BacV5_Otu_000007	0.001	0.401099174018
BacV5_Otu_000175	BacV5_Otu_000007	0	0.460716622351
BacV5_Otu_000179	BacV5_Otu_000007	0	0.564292858126
BacV5_Otu_000191	BacV5_Otu_000007	0	0.550734286186
BacV5_Otu_000194	BacV5_Otu_000007	0.001	0.418607315675
BacV5_Otu_000196	BacV5_Otu_000007	0	0.631868048446
BacV5_Otu_000206	BacV5_Otu_000007	0	0.549863783993
BacV5_Otu_000212	BacV5_Otu_000007	0	0.518680127558
BacV5_Otu_000213	BacV5_Otu_000007	0.001	0.407511877168
BacV5_Otu_000225	BacV5_Otu_000007	0	0.666215547606
BacV5_Otu_000247	BacV5_Otu_000007	0	0.534754104381
BacV5_Otu_000253	BacV5_Otu_000007	0	0.465393490861
BacV5_Otu_000278	BacV5_Otu_000007	0	0.567936890347
BacV5_Otu_000285	BacV5_Otu_000007	0	0.630530708828
BacV5_Otu_000289	BacV5_Otu_000007	0.001	0.481507934276
BacV5_Otu_000290	BacV5_Otu_000007	0	0.493492309023
BacV5_Otu_000291	BacV5_Otu_000007	0	0.522063381877
BacV5_Otu_000293	BacV5_Otu_000007	0	0.54852563824
BacV5_Otu_000328	BacV5_Otu_000007	0	0.41867455169
BacV5_Otu_000343	BacV5_Otu_000007	0.001	0.491061163375
BacV5_Otu_000347	BacV5_Otu_000007	0	0.538115446109
BacV5_Otu_000408	BacV5_Otu_000007	0	0.557022609429
BacV5_Otu_000689	BacV5_Otu_000007	0	0.535388938344
BacV5_Otu_000782	BacV5_Otu_000007	0.001	0.402079577393
Ftrad_Otu_00001	BacV5_Otu_000007	0	-0.492381200472
Ftrad_Otu_00002	BacV5_Otu_000007	0	-0.701069203435
Ftrad_Otu_00003	BacV5_Otu_000007	0	-0.680984133498
Ftrad_Otu_00004	BacV5_Otu_000007	0	-0.673539805614
Ftrad_Otu_00005	BacV5_Otu_000007	0	-0.60540481876
Ftrad_Otu_00006	BacV5_Otu_000007	0	-0.657888556338
Ftrad_Otu_00008	BacV5_Otu_000007	0	-0.661901058154
