"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143874","true","false","0.5000000000000001","25.000000000000004","50","Ftrad_Otu_00118","false","Ftrad_Otu_00118"
"143875","true","true","0.45","4.5","10","BacV5_Otu_000151","false","BacV5_Otu_000151"
"143876","true","false","0.5","0.5","1","BacV5_Otu_000467","false","BacV5_Otu_000467"
"143877","true","true","0.4862068965517241","70.5","145","Ftrad_Otu_00076","false","Ftrad_Otu_00076"
"143878","true","true","0.5000000000000001","2.5000000000000004","5","Otrad_Otu_00008","false","Otrad_Otu_00008"
"143879","true","true","0.4342105263157895","16.5","38","BacV5_Otu_000096","false","BacV5_Otu_000096"
"143880","true","true","0.5000000000000001","4.000000000000001","8","BacV5_Otu_000145","false","BacV5_Otu_000145"
"143881","true","true","0.43939393939393934","14.499999999999998","33","BacV5_Otu_000169","false","BacV5_Otu_000169"
"143882","true","true","0.48507462686567154","32.49999999999999","67","BacV5_Otu_000183","false","BacV5_Otu_000183"
"143883","true","true","0.4767441860465117","41.00000000000001","86","Ftrad_Otu_00047","false","Ftrad_Otu_00047"
"143884","true","true","0.5000000000000001","3.5000000000000004","7","Ftrad_Otu_00180","false","Ftrad_Otu_00180"
"143885","true","false","0.5000000000000001","3.5000000000000004","7","Ftrad_Otu_00299","false","Ftrad_Otu_00299"
"143886","true","true","0.48750000000000004","58.50000000000001","120","BacV5_Otu_000272","false","BacV5_Otu_000272"
"143887","true","false","0.4999999999999999","8.999999999999998","18","BacV5_Otu_000282","false","BacV5_Otu_000282"
"143888","true","false","0.5","4.5","9","BacV5_Otu_000335","false","BacV5_Otu_000335"
"143889","true","false","0.5","5.5","11","BacV5_Otu_000459","false","BacV5_Otu_000459"
"143890","true","true","0.4772727272727273","21.0","44","BacV5_Otu_000171","false","BacV5_Otu_000171"
"143891","true","true","0.49382716049382724","40.00000000000001","81","BacV5_Otu_000034","false","BacV5_Otu_000034"
"143892","true","true","0.5000000000000001","3.5000000000000004","7","BacV5_Otu_000204","false","BacV5_Otu_000204"
"143893","true","true","0.5000000000000001","30.000000000000004","60","Ftrad_Otu_00197","false","Ftrad_Otu_00197"
"143894","true","true","0.4896551724137931","71.0","145","BacV5_Otu_000092","false","BacV5_Otu_000092"
"143895","true","true","0.42857142857142855","18.0","42","BacV5_Otu_000102","false","BacV5_Otu_000102"
"143896","true","true","0.4999999999999999","8.999999999999998","18","BacV5_Otu_000104","false","BacV5_Otu_000104"
"143897","true","true","0.4876543209876543","79.0","162","BacV5_Otu_000115","false","BacV5_Otu_000115"
"143898","true","false","0.5","2.0","4","BacV5_Otu_000547","false","BacV5_Otu_000547"
