"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"116457","false","true","0.49999999999999994","25.999999999999996","52","Ftrad_Otu_00353","false","Ftrad_Otu_00353"
"116458","false","true","0.5","16.5","33","Ftrad_Otu_00075","false","Ftrad_Otu_00075"
"116459","false","true","0.5000000000000001","29.000000000000004","58","Ftrad_Otu_00345","false","Ftrad_Otu_00345"
"116460","false","true","0.5","42.0","84","BacV5_Otu_000273","false","BacV5_Otu_000273"
"116461","false","true","0.49999999999999994","2.9999999999999996","6","Ftrad_Otu_00346","false","Ftrad_Otu_00346"
"116462","false","true","0.49999999999999994","5.999999999999999","12","Ftrad_Otu_00338","false","Ftrad_Otu_00338"
"116463","false","true","0.5","8.5","17","Ftrad_Otu_00059","false","Ftrad_Otu_00059"
"116464","false","true","0.5","2.0","4","Ftrad_Otu_00203","false","Ftrad_Otu_00203"
"116465","false","true","0.49999999999999994","1.4999999999999998","3","Ftrad_Otu_00050","false","Ftrad_Otu_00050"
"116466","false","true","0.5000000000000001","4.000000000000001","8","Ftrad_Otu_00534","false","Ftrad_Otu_00534"
